series,condition,metric,estimate,ci_low,ci_high
main,nats-always:1,publish_mps,683.3145995935319,671.3859126794295,693.2424225843969
main,nats-always:1,publish_ms.p50,23.0910902,22.760799422500003,23.497386482499998
main,nats-always:1,publish_ms.p95,26.925234,26.417038159999997,27.489932050000004
main,nats-always:1,publish_ms.p99,45.0227658,44.09307481,45.9123787
main,nats-always:1,drain_mps,2241.1411568671183,2206.756123360282,2270.8250263419563
main,nats-always:1,cycle_ms.mean,0.4442006905334467,0.43819818681533806,0.4511669548161311
main,nats-always:1,cycle_ms.p50,0.44251589999999996,0.43689781999999994,0.44912089999999993
main,nats-always:1,cycle_ms.p95,0.5287758,0.5249338925,0.5328439624999999
main,nats-always:1,cycle_ms.p99,0.6359394,0.6282973675,0.6438120325
main,nats-always:1,ack_ms.p99,0.30942970000000003,0.30411406250000006,0.31499243250000003
main,nats-always:1,drain_delivery_ms.p99,7244.9846622,7148.581575367501,7355.6619459125
main,nats-always:16,publish_mps,689.294021882485,679.0936702469319,698.5875745808695
main,nats-always:16,publish_ms.p50,22.888633399999996,22.602440772500003,23.20710588
main,nats-always:16,publish_ms.p95,26.7092332,26.2557978075,27.21958545
main,nats-always:16,publish_ms.p99,45.445366899999996,44.6891203625,46.10764878249999
main,nats-always:16,drain_mps,27430.703636965936,27043.147236973247,27830.276006320706
main,nats-always:16,cycle_ms.mean,0.5818983522155768,0.5734182975523392,0.5902249774273686
main,nats-always:16,cycle_ms.p50,0.5184323000000001,0.512040575,0.5244788899999999
main,nats-always:16,cycle_ms.p95,0.9570667,0.9350800825000001,0.9788359475
main,nats-always:16,cycle_ms.p99,1.5406197000000001,1.4640434750000002,1.6190865225000002
main,nats-always:16,ack_ms.p99,0.8098473,0.7796133524999999,0.838070915
main,nats-always:16,drain_delivery_ms.p99,591.9040307000001,583.342889105,600.2173418450001
main,nats-always:2,publish_mps,628.6398065877527,549.0348596078904,687.6820912915374
main,nats-always:2,publish_ms.p50,23.0589654,22.7226976,23.472265097500003
main,nats-always:2,publish_ms.p95,60.3129608,26.6644002,110.58309039999999
main,nats-always:2,publish_ms.p99,92.82779409999999,44.792222125,161.51298898999997
main,nats-always:2,drain_mps,5337.80746137725,5145.145172643061,5613.954716414999
main,nats-always:2,cycle_ms.mean,0.3747840390319826,0.3576513860351561,0.3875172804574591
main,nats-always:2,cycle_ms.p50,0.3621591,0.343197815,0.37529250500000005
main,nats-always:2,cycle_ms.p95,0.47344410000000003,0.45924149750000004,0.48747885250000006
main,nats-always:2,cycle_ms.p99,0.631053,0.6063398249999999,0.66194547
main,nats-always:2,ack_ms.p99,0.30613520000000005,0.29635849000000003,0.31904095749999994
main,nats-always:2,drain_delivery_ms.p99,3051.8668227,2912.2892313225,3155.3359332025
main,nats-always:4,publish_mps,682.9196890648587,672.7139758982283,692.7974320516028
main,nats-always:4,publish_ms.p50,23.044680300000003,22.754502297500004,23.3491479175
main,nats-always:4,publish_ms.p95,27.2092096,26.4735904,28.17096291
main,nats-always:4,publish_ms.p99,44.6954786,44.1449187,45.37597892
main,nats-always:4,drain_mps,11497.170690397861,11203.694118690177,11787.999289043284
main,nats-always:4,cycle_ms.mean,0.34735903609008706,0.33863436906021005,0.3563563958502185
main,nats-always:4,cycle_ms.p50,0.32252089999999994,0.317217635,0.3274845325000001
main,nats-always:4,cycle_ms.p95,0.47851429999999995,0.4679035975,0.48959540999999995
main,nats-always:4,cycle_ms.p99,0.727697,0.631803745,0.8799714075
main,nats-always:4,ack_ms.p99,0.3473079,0.32046848499999997,0.3838306
main,nats-always:4,drain_delivery_ms.p99,1413.678152,1378.2697347825,1450.2387638
main,nats-always:8,publish_mps,691.8074056718862,683.9892663610283,698.5450030844021
main,nats-always:8,publish_ms.p50,22.6679436,22.4819631,22.93045311
main,nats-always:8,publish_ms.p95,26.4568669,26.2129491275,26.710999592500002
main,nats-always:8,publish_ms.p99,45.076385699999996,44.2199597775,45.9917890125
main,nats-always:8,drain_mps,19658.736161375033,19485.02266347793,19807.551784542713
main,nats-always:8,cycle_ms.mean,0.4057274401123047,0.4026354620002757,0.40939692951553325
main,nats-always:8,cycle_ms.p50,0.37843899999999997,0.37627883,0.3814200225
main,nats-always:8,cycle_ms.p95,0.5609316,0.5503353099999999,0.572166315
main,nats-always:8,cycle_ms.p99,0.8504996,0.80830793,0.8936201350000001
main,nats-always:8,ack_ms.p99,0.43364959999999997,0.4151938,0.453483495
main,nats-always:8,drain_delivery_ms.p99,824.451691,818.0095737425,831.7289325524999
main,nats-memory:1,publish_mps,55502.72002321713,54278.41410148172,56611.50709250651
main,nats-memory:1,publish_ms.p50,0.24651979999999996,0.2442035175,0.24900582250000003
main,nats-memory:1,publish_ms.p95,0.5442073,0.5186623975,0.5732115925
main,nats-memory:1,publish_ms.p99,1.0374687,0.992292385,1.0961239999999999
main,nats-memory:1,drain_mps,2301.686379196278,2256.9627793051527,2336.315629934776
main,nats-memory:1,cycle_ms.mean,0.4326568662963871,0.4258962805541987,0.4414661481301893
main,nats-memory:1,cycle_ms.p50,0.4342899,0.42867723750000003,0.44212156249999995
main,nats-memory:1,cycle_ms.p95,0.5256551,0.5204836675,0.531701105
main,nats-memory:1,cycle_ms.p99,0.6526616000000001,0.6327225025,0.6775855
main,nats-memory:1,ack_ms.p99,0.3116957,0.30341565749999994,0.32110776499999993
main,nats-memory:1,drain_delivery_ms.p99,7052.189877,6940.7740505500005,7196.18547683
main,nats-memory:16,publish_mps,55301.532362817714,54326.75760428711,56180.53559722754
main,nats-memory:16,publish_ms.p50,0.24705080000000001,0.2444980525,0.24958261499999998
main,nats-memory:16,publish_ms.p95,0.5553925,0.53233089,0.580786995
main,nats-memory:16,publish_ms.p99,1.0429340999999999,1.0142042274999998,1.0729191999999999
main,nats-memory:16,drain_mps,29793.710575762485,29428.514028831603,30116.63814967082
main,nats-memory:16,cycle_ms.mean,0.5358638486999512,0.5299571140327454,0.5426102992758177
main,nats-memory:16,cycle_ms.p50,0.4923741,0.48802014499999996,0.497149115
main,nats-memory:16,cycle_ms.p95,0.8360679,0.818316345,0.85663216
main,nats-memory:16,cycle_ms.p99,1.3100808,1.2601214775,1.360445435
main,nats-memory:16,ack_ms.p99,0.7101809,0.68834871,0.7332316625000002
main,nats-memory:16,drain_delivery_ms.p99,544.2813439000001,538.340639625,551.0374567824999
main,nats-memory:2,publish_mps,55895.858101316066,55269.51955599444,56544.04537795135
main,nats-memory:2,publish_ms.p50,0.2463314,0.24461650499999996,0.24778149999999996
main,nats-memory:2,publish_ms.p95,0.5280142,0.5092671974999999,0.5473207975000001
main,nats-memory:2,publish_ms.p99,1.0381858,0.9865975725,1.0879339375
main,nats-memory:2,drain_mps,5457.337647444231,5254.109454373258,5736.587627003146
main,nats-memory:2,cycle_ms.mean,0.3666980616027828,0.35044373904373083,0.37948595479614167
main,nats-memory:2,cycle_ms.p50,0.35294829999999994,0.33529007250000004,0.36700821999999994
main,nats-memory:2,cycle_ms.p95,0.4647298,0.45018165250000003,0.47569848750000004
main,nats-memory:2,cycle_ms.p99,0.6325082,0.6019579275,0.6684450724999998
main,nats-memory:2,ack_ms.p99,0.2997447,0.29179659500000005,0.30583227249999995
main,nats-memory:2,drain_delivery_ms.p99,2986.5878771,2853.2409088025,3091.3902763225
main,nats-memory:4,publish_mps,56122.937298993485,55234.86323347452,56805.38606961912
main,nats-memory:4,publish_ms.p50,0.2461003,0.24383772,0.24910781
main,nats-memory:4,publish_ms.p95,0.5177077000000001,0.5021820925,0.5338760174999999
main,nats-memory:4,publish_ms.p99,0.994896,0.9576506799999998,1.0308752399999999
main,nats-memory:4,drain_mps,11691.624021843369,11519.177577670825,11895.585576027992
main,nats-memory:4,cycle_ms.mean,0.3412341775268552,0.3354664037432859,0.3462191357353211
main,nats-memory:4,cycle_ms.p50,0.3185396,0.3141094525,0.3228344
main,nats-memory:4,cycle_ms.p95,0.4673617,0.4582077625,0.4763506575
main,nats-memory:4,cycle_ms.p99,0.6666508,0.6498793875000001,0.6932313075000002
main,nats-memory:4,ack_ms.p99,0.32978640000000004,0.31932088499999994,0.3448438325
main,nats-memory:4,drain_delivery_ms.p99,1388.0801298000001,1364.5613535575,1408.411124325
main,nats-memory:8,publish_mps,56025.806292892994,55020.98846687492,57112.644060487284
main,nats-memory:8,publish_ms.p50,0.24567719999999998,0.2427811975,0.24842650250000003
main,nats-memory:8,publish_ms.p95,0.5252686000000001,0.5003826600000001,0.5483756025
main,nats-memory:8,publish_ms.p99,1.0248829000000002,0.98298946,1.064910005
main,nats-memory:8,drain_mps,20324.20487421439,20045.265868317798,20614.368414988687
main,nats-memory:8,cycle_ms.mean,0.3926322546264646,0.3870607914462284,0.39808622830306983
main,nats-memory:8,cycle_ms.p50,0.3685113,0.363915985,0.37292815
main,nats-memory:8,cycle_ms.p95,0.5430864,0.5325167625,0.5533027199999999
main,nats-memory:8,cycle_ms.p99,0.8505627,0.8125188300000001,0.8933944249999999
main,nats-memory:8,ack_ms.p99,0.43838679999999997,0.42146951,0.4579493150000001
main,nats-memory:8,drain_delivery_ms.p99,798.3740956,786.8669733050001,809.58020341
main,nats-periodic:1,publish_mps,48190.739275807995,45899.92992206188,49760.20412327244
main,nats-periodic:1,publish_ms.p50,0.2863612,0.2809487,0.29438967
main,nats-periodic:1,publish_ms.p95,0.6254708,0.5743246625,0.7076205725000001
main,nats-periodic:1,publish_ms.p99,1.0836909,0.9663144174999998,1.2699497324999998
main,nats-periodic:1,drain_mps,2267.576822165587,2240.5659037887212,2291.2725729124836
