profile,n,p99_mean_ms,p99_median_ms,loo_min_ms,loo_max_ms,early_mps,late_mps
nats-always,10,579.5683876,160.257444,150.52721844444443,639.3655228888888,449.13120501933474,300.5707007275877
nats-memory,10,0.7042327,0.6846190000000001,0.6871112222222222,0.7080268888888889,59681.58923443225,61068.55695509439
nats-periodic,10,0.8491538999999999,0.8402434999999999,0.8419372222222222,0.8525124444444445,50346.47404924878,48638.050044103016
redis-always,9,29.00143544444444,7.458387,20.1538635,32.09700875,3782.8322273526537,2084.933140731383
redis-memory,10,0.47439090000000006,0.4702005,0.4690001111111111,0.47621511111111114,73975.44202434826,73833.49311220326
redis-periodic,10,0.557434,0.555096,0.5551774444444444,0.559323,61384.49143881374,61370.68661727492
