id,campaign,block,kind,engine,version,profile,host,publishers,consumers,cpus,seconds,count,payload,compression,trace,recovery,delta_ms,age,kill,seed,pilot,status,error,stage,attempt_records,confirmed_records,unknown_records,throughput_mps,p50_ms,p99_ms,sample_count,mean_ms,max_ms,p99_rank,positions_above_p99,measured_seconds,driver_sample_seconds,driver_mean_cores,driver_quota_percent,driver_throttled_usec,driver_throttled_periods,driver_host_busy_fraction,driver_host_iowait_fraction,broker_sample_seconds,broker_mean_cores,broker_quota_percent,broker_throttled_usec,broker_throttled_periods,broker_host_busy_fraction,broker_host_iowait_fraction,seconds_until_workers_joined,retained_count_at_reconciliation,reset_verified,occupancy,censored,actual_age_ms,observation_seconds,receipt_excess_ms,reference_to_redelivery_ms,redelivery_before_reference,after_nominal_deadline,sync_complete_calls,sync_by_call,sync_errors,sync_mean_ms,sync_p50_ms,sync_p99_ms,sync_max_ms,sync_sum_call_seconds,sync_broker_bracket_seconds,sync_boundary_overlap_calls,sync_calls_per_confirmed_message
F0013,main02,0,publication,redis,7.4.2,always,redis-old,16,0,2,15,65536,compressible,inherited,False,,250,0.1,True,2026092415,False,complete,,complete,73784.0,73784.0,0.0,4918.153090641131,3.151065,6.48155,73784.0,3.249750791065826,12.652355,73047.0,737.0,15.002379682,15.002930233,0.25558140579537014,12.779070289768507,0.0,0.0,0.293990344597969,0.002663559180955552,15.004317038,0.1959717321723524,9.798586608617619,0.0,0.0,0.0648926823145475,0.04824065938663654,,,,,,,,,,,,,,,,,,,,,,
F0014,main02,0,publication,nats,2.10.24,memory,nats-old,1,0,2,15,65536,compressible,inherited,False,,250,0.1,True,2026092416,False,complete,,complete,68542.0,68542.0,0.0,4569.420908790314,0.214172,0.315116,68542.0,0.21562076726678472,6.305025,67857.0,685.0,15.000150209,15.000684892,0.4808916427440678,24.044582137203392,0.0,0.0,0.28123912286808217,0.0022624434389140274,15.002400364,0.1848476198951812,9.24238099475906,0.0,0.0,0.07318198984515967,0.0011749402039360497,,,,,,,,,,,,,,,,,,,,,,
F0015,main02,0,publication,nats,2.10.24,always,nats-old,1,0,2,15,65536,compressible,inherited,False,,250,0.1,True,2026092417,False,complete,,complete,8572.0,8572.0,0.0,571.4318657041362,1.707592,2.681321,8572.0,1.745354444237045,7.05635,8487.0,85.0,15.00091352,15.001464687,0.08711649344030482,4.355824672015241,0.0,0.0,0.11977058029689609,0.0028677462887989206,15.00328396,0.21240903048268375,10.620451524134188,0.0,0.0,0.05770522074869901,0.041883498405237536,,,,,,,,,,,,,,,,,,,,,,
F0016,main02,0,publication,redis,7.4.2,memory,redis-old,16,0,2,15,65536,compressible,inherited,False,,250,0.1,True,2026092418,False,complete,,complete,1102191.0,1102191.0,0.0,73478.69918955861,0.205386,0.466064,1102191.0,0.21649545032304135,8.654738,1091170.0,11021.0,15.000143064,15.000733974,1.1081558428282279,55.40779214141139,0.0,0.0,0.6081694402420574,0.0021852412170112624,15.001781359,0.5322217281356393,26.611086406781965,0.0,0.0,0.14018496045528728,0.001129848935012763,,,,,,,,,,,,,,,,,,,,,,
F0017,main02,0,publication,nats,2.10.24,memory,nats-old,16,0,2,15,65536,compressible,inherited,False,,250,0.1,True,2026092419,False,complete,,complete,894937.0,894937.0,0.0,59661.6923732456,0.240972,0.726391,894937.0,0.2667448095877104,15.075795,885988.0,8949.0,15.000194671,15.000711874,1.175366485810552,58.768324290527595,0.0,0.0,0.5957873620862588,0.003510531594784353,15.001868751,1.1882170345485645,59.41085172742822,0.0,0.0,0.2319540421280493,0.003621680126550662,,,,,,,,,,,,,,,,,,,,,,
F0018,main02,0,publication,nats,2.10.24,periodic,nats-old,16,0,2,15,65536,compressible,inherited,False,,250,0.1,True,2026092420,False,complete,,complete,677445.0,677445.0,0.0,45162.25489806461,0.298923,0.976682,677445.0,0.3526232749935422,22.112594,670671.0,6774.0,15.000247475,15.000783544,1.0419223072018484,52.09611536009242,0.0,0.0,0.5887772194304858,0.003015075376884422,15.001943776,1.189866277765738,59.493313888286906,0.0,0.0,0.20448565342688887,0.003758927452700163,,,,,,,,,,,,,,,,,,,,,,
F0019,main02,0,publication,nats,2.10.24,always,nats-old,16,0,2,15,65536,compressible,inherited,False,,250,0.1,True,2026092421,False,failed,context deadline exceeded,warmup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
F0020,main02,0,publication,nats,2.15.0,periodic,nats-current,16,0,2,15,65536,compressible,inherited,False,,250,0.1,True,2026092422,False,complete,,complete,744559.0,744559.0,0.0,49636.62639058642,0.288478,0.773208,744559.0,0.32079861073601573,20.175025,737114.0,7445.0,15.000193489,15.000807125,1.1145139631944971,55.72569815972486,0.0,0.0,0.5723143958438076,0.004189710072063013,15.002008932,1.2357297002041272,61.78648501020636,0.0,0.0,0.18462051153878198,0.00424893776555861,,,,,,,,,,,,,,,,,,,,,,
F0021,main02,0,publication,redis,7.4.2,periodic,redis-old,1,0,2,15,65536,compressible,inherited,False,,250,0.1,True,2026092423,False,complete,,complete,83847.0,83847.0,0.0,5589.773750422468,0.175058,0.258537,83847.0,0.17608415178837628,7.312842,83009.0,838.0,15.00007044,15.000576933,0.3519905283365677,17.599526416828386,0.0,0.0,0.2523956194387406,0.002566735112936345,15.002349162,0.11573107526371809,5.786553763185904,0.0,0.0,0.05278971748111672,0.012602762592329841,,,,,,,,,,,,,,,,,,,,,,
F0022,main02,0,publication,redis,8.10.2,memory,redis-current,1,0,2,15,65536,compressible,inherited,False,,250,0.1,True,2026092424,False,complete,,complete,87073.0,87073.0,0.0,5804.8122523566135,0.168151,0.256715,87073.0,0.16938568849126337,6.906349,86203.0,870.0,15.00014061,15.000706425,0.3573301048720444,17.86650524360222,0.0,0.0,0.2726337448559671,0.002914951989026063,15.002319918,0.07650376783546205,3.825188391773102,0.0,0.0,0.07398737616519667,0.0020482380972286084,,,,,,,,,,,,,,,,,,,,,,
F0023,main02,0,publication,redis,7.4.2,always,redis-old,1,0,2,15,65536,compressible,inherited,False,,250,0.1,True,2026092425,False,complete,,complete,1761.0,1761.0,0.0,117.38688375306647,1.970804,37.976028,1761.0,8.513104261215231,2296.817583,1744.0,17.0,15.001676028,15.002321826,0.015273702474698534,0.7636851237349267,0.0,0.0,0.12607449856733524,0.0026967807180178663,15.003714251,0.040984718164638154,2.049235908231908,0.0,0.0,0.06259414225941423,0.23774058577405857,,,,,,,,,,,,,,,,,,,,,,
